range	bloomHash	bloomSize	indexHash	indexSize
002404986-002405404	Qmdj5S51udit9eF43rF8UJ8Ep11nt9SV5z3SEQmFHiUcUS	131114	QmX6Es77Pc4FmyLAQdxX3PhWmrXwHmw4mXv5tcGoKoedB6	16696960
002405405-002405844	QmNXU21RgxYh2TxiaF6SQ23bcppJHJUgEHpv5GaBeVmTNb	131114	QmQv3RwiA8RTRLFn4jouitzxbtCtyJAaLxB9TqjnJZndej	16709168
002405845-002406312	QmP8igN2Xm81PCn95XesQY2hnoecsLcz1ncF6CRVgMNx84	131114	QmPzVQUPQETzJDbxwMjgMAZmKZYEhRqfuEVp4F9BZA9RkT	16610412
002406313-002406808	QmUXnq4d8FeiCYvmJT7nz4swLhr5YJsZAB4PrxfaC3ydvA	131114	QmVYxE96Y8xdGjHVoDfCV1jVFrNoti3oGnrQaL6smJzEmY	16616548
002406809-002407234	QmcUYfozyb382kQT8ySZX8rUgn9MSvKxPji8NxEYurxtg9	131114	QmXCsMf1CkvtU6mochbescdLmzCUSKSbvq7uiF1SJoddQS	16903000
002407235-002407824	QmcgJGBsPGbTh6jtDZAK8x9HLfS2GyfZhdGjA1ERyk6G5G	131114	QmS4otfMCmGnpfb5wUKNRFbpw8tyGEJaRkTGmmiEpzN4SZ	16908912
002407825-002408296	QmQV2hLrHk9D65HinkK1YuGCKjphZBupVemNqetxZCQypu	131114	QmZRKRVVbKF1K5qCGNU3Fcd1ocPEL5e2tD2GUJXMJf94qA	16631512
002408297-002408882	QmW95KsadexgyqEwFfqZSwThvsCfHLQXAvZjiNozyxm7QH	131114	QmP1ZzLd8JZzSd1e73qLqwWNAAMSkkbEGfmqQCdjX4jdTx	16857624
002408883-002409392	QmXDjSiMXcQq9AWFX2PNhzMuGSqgabNoa6cDTs1eqVC4hU	131114	QmPpq5ZFQ7jbfXqwzu2tgyVWm9WLJVxUJeYpCznyRPRXGH	16843104
002409393-002409941	QmSwYrkFMVuTHCPDnXvqMPikqohDGR2BCLePux4P6iZ5m7	131114	QmRHhKfPwy6LH6ZH1XXLtjWzBzSQTK4E3kqM8Qi83GnP8Q	16929832
002409942-002410553	Qmaj6FPtYrKvqewcgSR9DLxgBtRiP7dR6F7BpjZvjszRpF	131114	QmXnJkjoqRcm1qwsZxmny7TcBdxMn2jnHNXgzEgKBes6vZ	16605856
002410554-002411144	QmYkTk69FkuUBU7RZvutENbr6quCH8xcpBtWX3M5bT9krP	131114	QmWvYyE1zLBfgj1adKJabWQ1FY18cZgiUmuHuAQkH3iTBW	16612068
